date,A,B,C
2012-01-23,2.0,2.0,0.0
2012-01-27,0.0,1.0,0.0
2012-02-06,0.0,1.0,0.0
2012-02-07,0.0,3.0,0.0
2012-02-09,0.0,1.0,0.0
2012-02-14,0.0,4.0,0.0
2012-06-27,0.0,2.0,0.0
2012-08-07,1.0,1.0,0.0
2012-09-06,1.0,0.0,0.0
2012-09-17,0.0,2.0,0.0
2013-05-22,1.0,1.0,0.0
2013-06-06,0.0,1.0,0.0
2013-06-18,0.0,1.0,0.0
2013-06-24,1.0,0.0,0.0
2013-07-01,0.0,1.0,1.0
2013-07-15,0.0,1.0,0.0
2013-08-05,0.0,1.0,0.0
2013-10-01,0.0,2.0,0.0
2013-11-04,0.0,0.0,2.0
2013-11-12,2.0,0.0,0.0
2013-11-29,0.0,0.0,1.0
2013-12-03,0.0,1.0,0.0
2013-12-04,0.0,5.0,1.0
2013-12-10,0.0,5.0,0.0
2013-12-13,0.0,1.0,4.0
2013-12-16,0.0,0.0,2.0
2013-12-18,0.0,1.0,4.0
2013-12-19,1.0,1.0,0.0
2013-12-23,3.0,5.0,0.0
2014-01-14,0.0,1.0,1.0
2014-01-21,0.0,5.0,0.0
2014-02-21,1.0,1.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-05,0.0,2.0,0.0
2014-03-07,0.0,0.0,2.0
2014-03-13,0.0,5.0,0.0
2014-03-14,0.0,1.0,1.0
2014-03-24,2.0,8.0,0.0
2014-03-25,0.0,1.0,0.0
2014-04-11,0.0,0.0,1.0
2014-04-15,2.0,6.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-21,0.0,0.0,4.0
2014-04-23,0.0,2.0,0.0
2014-04-28,1.0,0.0,0.0
2014-04-29,1.0,7.0,1.0
2014-05-01,2.0,0.0,0.0
2014-05-02,0.0,0.0,1.0
2014-05-05,1.0,5.0,3.0
2014-05-09,1.0,0.0,0.0
2014-05-13,2.0,4.0,0.0
2014-05-14,1.0,2.0,2.0
2014-05-15,0.0,0.0,3.0
2014-05-20,1.0,0.0,0.0
2014-06-03,0.0,4.0,0.0
2014-06-06,0.0,3.0,0.0
2014-06-16,0.0,1.0,0.0
2014-06-19,1.0,0.0,0.0
2014-06-23,0.0,3.0,0.0
2014-06-24,1.0,5.0,0.0
2014-06-26,1.0,5.0,4.0
2014-06-27,1.0,4.0,0.0
2014-07-03,1.0,8.0,0.0
2014-07-07,1.0,12.0,1.0
2014-07-08,0.0,5.0,0.0
2014-07-09,1.0,7.0,0.0
2014-07-14,0.0,0.0,1.0
2014-07-18,0.0,2.0,1.0
2014-07-21,1.0,14.0,7.0
2014-07-25,4.0,0.0,0.0
2014-07-28,1.0,14.0,1.0
2014-07-31,0.0,6.0,0.0
2014-08-01,0.0,3.0,1.0
2014-08-06,1.0,3.0,0.0
2014-08-18,0.0,1.0,1.0
2014-08-19,0.0,0.0,1.0
2014-08-21,1.0,1.0,0.0
2014-08-28,0.0,3.0,0.0
2014-08-29,0.0,1.0,0.0
2014-09-02,0.0,3.0,3.0
2014-09-03,1.0,0.0,0.0
2014-09-04,1.0,8.0,0.0
2014-09-12,2.0,5.0,0.0
2014-09-15,0.0,3.0,1.0
2014-09-16,0.0,9.0,2.0
2014-09-18,0.0,1.0,0.0
2014-09-25,1.0,0.0,0.0
2014-09-26,1.0,4.0,0.0
2014-10-01,0.0,1.0,0.0
2014-10-03,0.0,1.0,0.0
2014-10-06,0.0,1.0,2.0
2014-10-07,3.0,11.0,2.0
2014-10-08,1.0,1.0,2.0
2014-10-14,2.0,0.0,0.0
2014-10-15,1.0,2.0,2.0
2014-10-21,0.0,4.0,0.0
2014-10-27,0.0,0.0,1.0
2014-10-29,1.0,2.0,0.0
2014-10-30,1.0,2.0,4.0
2014-10-31,0.0,2.0,0.0
2014-11-12,1.0,6.0,2.0
2014-11-18,4.0,4.0,6.0
2014-11-24,2.0,4.0,2.0
2014-11-28,5.0,16.0,1.0
2014-12-11,0.0,0.0,1.0
2014-12-15,0.0,0.0,2.0
2014-12-22,0.0,1.0,0.0
2014-12-24,0.0,1.0,1.0
2014-12-29,0.0,0.0,1.0
2015-01-07,4.0,22.0,8.0
2015-01-12,2.0,0.0,0.0
2015-01-20,0.0,1.0,3.0
2015-01-26,0.0,1.0,5.0
2015-01-30,0.0,0.0,2.0
2015-02-02,0.0,0.0,3.0
2015-02-03,0.0,0.0,1.0
2015-02-09,0.0,2.0,0.0
2015-02-10,1.0,4.0,0.0
2015-02-11,1.0,0.0,0.0
2015-02-17,2.0,8.0,2.0
2015-02-23,1.0,2.0,2.0
2015-02-24,0.0,0.0,2.0
2015-02-26,0.0,1.0,0.0
2015-02-27,0.0,2.0,0.0
2015-03-02,0.0,3.0,1.0
2015-03-04,1.0,4.0,0.0
2015-03-05,1.0,5.0,3.0
2015-03-09,3.0,10.0,1.0
2015-03-12,1.0,8.0,2.0
2015-03-16,1.0,6.0,0.0
2015-03-17,0.0,2.0,2.0
2015-03-18,0.0,0.0,4.0
2015-03-19,0.0,1.0,0.0
2015-03-20,1.0,0.0,1.0
2015-03-23,1.0,0.0,2.0
2015-03-24,2.0,2.0,3.0
2015-03-27,0.0,2.0,2.0
2015-03-30,2.0,10.0,3.0
2015-03-31,2.0,10.0,2.0
2015-04-01,6.0,8.0,3.0
2015-04-02,5.0,1.0,2.0
2015-04-06,1.0,7.0,3.0
2015-04-08,0.0,0.0,1.0
2015-04-09,0.0,1.0,1.0
2015-04-13,5.0,5.0,2.0
2015-04-14,3.0,17.0,2.0
2015-04-15,1.0,0.0,0.0
2015-04-20,0.0,0.0,1.0
2015-04-21,2.0,9.0,1.0
2015-04-22,3.0,5.0,3.0
2015-04-27,1.0,1.0,0.0
2015-04-28,0.0,1.0,0.0
2015-04-29,0.0,1.0,0.0
2015-05-01,0.0,5.0,0.0
2015-05-04,0.0,4.0,0.0
2015-05-06,1.0,6.0,0.0
2015-05-11,0.0,17.0,4.0
2015-05-13,0.0,0.0,1.0
2015-05-14,0.0,1.0,0.0
2015-05-19,0.0,1.0,0.0
2015-05-21,0.0,4.0,1.0
2015-05-22,0.0,0.0,2.0
2015-05-26,1.0,2.0,0.0
2015-05-28,2.0,3.0,5.0
2015-06-02,0.0,7.0,1.0
2015-06-03,1.0,3.0,0.0
2015-06-04,1.0,3.0,0.0
2015-06-08,0.0,3.0,1.0
2015-06-12,1.0,2.0,0.0
2015-06-15,0.0,2.0,0.0
2015-06-16,0.0,0.0,3.0
2015-06-17,1.0,0.0,0.0
2015-06-19,1.0,3.0,0.0
2015-06-22,0.0,2.0,0.0
2015-06-24,0.0,1.0,0.0
2015-06-25,0.0,6.0,0.0
2015-06-29,2.0,1.0,1.0
2015-06-30,1.0,8.0,0.0
2015-07-02,2.0,0.0,0.0
2015-07-06,1.0,0.0,0.0
2015-07-07,1.0,0.0,1.0
2015-07-10,0.0,3.0,2.0
2015-07-13,0.0,2.0,0.0
2015-07-14,2.0,0.0,0.0
2015-07-15,0.0,2.0,1.0
2015-07-17,2.0,1.0,0.0
2015-07-20,0.0,3.0,0.0
2015-07-21,2.0,4.0,1.0
2015-07-22,0.0,4.0,0.0
2015-07-24,0.0,2.0,1.0
2015-07-27,1.0,4.0,1.0
2015-07-29,1.0,0.0,0.0
2015-08-04,1.0,3.0,0.0
2015-08-05,0.0,2.0,0.0
2015-08-12,2.0,3.0,6.0
2015-08-13,1.0,5.0,0.0
2015-08-17,2.0,2.0,1.0
2015-08-20,1.0,4.0,0.0
2015-08-21,2.0,1.0,0.0
2015-08-24,1.0,4.0,2.0
2015-08-26,1.0,3.0,0.0
2015-08-27,3.0,3.0,9.0
2015-08-31,1.0,8.0,0.0
2015-09-01,0.0,0.0,1.0
2015-09-03,1.0,8.0,9.0
2015-09-04,0.0,5.0,0.0
2015-09-08,0.0,1.0,1.0
2015-09-09,3.0,0.0,0.0
2015-09-10,1.0,0.0,0.0
2015-09-11,3.0,5.0,3.0
2015-09-14,1.0,4.0,1.0
2015-09-16,1.0,2.0,0.0
2015-09-17,0.0,1.0,0.0
2015-09-21,6.0,6.0,1.0
2015-09-22,2.0,14.0,6.0
2015-09-23,0.0,0.0,1.0
2015-09-24,0.0,3.0,0.0
2015-09-25,0.0,2.0,2.0
2015-09-29,0.0,0.0,1.0
2015-10-01,0.0,10.0,0.0
2015-10-02,2.0,1.0,2.0
2015-10-05,0.0,3.0,0.0
2015-10-08,0.0,6.0,2.0
2015-10-13,0.0,1.0,0.0
2015-10-15,1.0,1.0,0.0
2015-10-19,0.0,0.0,2.0
2015-10-20,1.0,4.0,0.0
2015-10-21,0.0,5.0,0.0
2015-10-22,1.0,0.0,0.0
2015-10-30,0.0,3.0,2.0
2015-11-02,0.0,6.0,0.0
2015-11-04,0.0,3.0,1.0
2015-11-06,1.0,1.0,0.0
2015-11-10,1.0,0.0,0.0
2015-11-12,0.0,7.0,2.0
2015-11-16,1.0,3.0,0.0
2015-11-18,1.0,3.0,0.0
2015-11-19,0.0,0.0,2.0
2015-11-20,0.0,3.0,0.0
2015-11-23,1.0,1.0,3.0
2015-11-24,0.0,1.0,1.0
2015-11-25,0.0,2.0,7.0
2015-11-27,4.0,7.0,0.0
2015-11-30,1.0,2.0,0.0
2015-12-03,0.0,6.0,0.0
2015-12-09,0.0,1.0,0.0
2015-12-14,3.0,6.0,1.0
2015-12-15,0.0,2.0,0.0
2015-12-18,0.0,3.0,0.0
2015-12-21,0.0,4.0,0.0
2015-12-29,0.0,1.0,0.0
2016-01-05,1.0,0.0,1.0
2016-01-07,0.0,1.0,0.0
2016-01-11,2.0,0.0,0.0
2016-01-13,0.0,1.0,4.0
2016-01-14,0.0,3.0,1.0
2016-01-15,1.0,0.0,0.0
2016-01-22,3.0,1.0,2.0
2016-01-26,1.0,1.0,0.0
2016-02-01,0.0,2.0,2.0
2016-02-02,1.0,3.0,3.0
2016-02-03,0.0,0.0,1.0
2016-02-08,9.0,12.0,2.0
2016-02-10,1.0,0.0,0.0
2016-02-16,0.0,1.0,1.0
2016-02-17,1.0,4.0,0.0
2016-02-18,0.0,1.0,0.0
2016-02-19,0.0,6.0,0.0
2016-02-24,1.0,2.0,0.0
2016-02-25,0.0,3.0,0.0
2016-02-29,0.0,0.0,2.0
2016-03-02,0.0,0.0,2.0
2016-03-07,0.0,3.0,0.0
2016-03-08,0.0,2.0,0.0
2016-03-09,1.0,1.0,0.0
2016-03-14,0.0,0.0,1.0
2016-03-16,0.0,5.0,1.0
2016-03-17,1.0,3.0,1.0
2016-03-21,1.0,0.0,1.0
2016-03-24,1.0,1.0,0.0
2016-03-28,0.0,6.0,1.0
2016-03-29,1.0,5.0,5.0
2016-03-30,0.0,0.0,1.0
2016-03-31,0.0,0.0,3.0
2016-04-04,1.0,0.0,0.0
2016-04-05,0.0,2.0,2.0
2016-04-06,0.0,0.0,1.0
2016-04-07,0.0,0.0,1.0
2016-04-11,2.0,3.0,0.0
2016-04-15,0.0,1.0,0.0
2016-04-18,0.0,1.0,0.0
2016-04-19,1.0,8.0,0.0
2016-04-20,0.0,1.0,0.0
2016-04-21,2.0,2.0,0.0
2016-04-25,2.0,15.0,2.0
2016-04-26,0.0,9.0,4.0
2016-05-04,0.0,1.0,0.0
2016-05-09,0.0,2.0,0.0
2016-05-10,0.0,0.0,4.0
2016-05-13,0.0,1.0,0.0
2016-05-16,2.0,3.0,4.0
2016-05-18,0.0,8.0,8.0
2016-05-20,0.0,2.0,0.0
2016-05-23,0.0,0.0,1.0
2016-05-27,1.0,4.0,2.0
2016-05-31,0.0,2.0,0.0
2016-06-09,1.0,0.0,0.0
2016-06-13,1.0,1.0,0.0
2016-06-14,0.0,0.0,1.0
2016-06-15,0.0,3.0,2.0
2016-06-17,2.0,2.0,3.0
2016-06-20,1.0,0.0,0.0
2016-06-21,0.0,0.0,1.0
2016-06-24,0.0,3.0,0.0
2016-06-27,1.0,0.0,1.0
2016-06-29,1.0,0.0,0.0
2016-06-30,0.0,1.0,0.0
2016-07-14,0.0,1.0,0.0
2016-07-15,1.0,6.0,4.0
2016-07-18,0.0,2.0,0.0
2016-07-22,0.0,1.0,0.0
2016-07-26,3.0,3.0,1.0
2016-07-27,0.0,4.0,1.0
2016-07-28,0.0,2.0,3.0
2016-07-29,1.0,0.0,0.0
2016-08-03,1.0,3.0,0.0
2016-08-04,0.0,1.0,0.0
2016-08-08,1.0,0.0,0.0
2016-08-10,0.0,3.0,0.0
2016-08-15,1.0,1.0,2.0
2016-08-16,0.0,3.0,0.0
2016-08-17,1.0,3.0,2.0
2016-08-18,0.0,2.0,0.0
2016-08-22,2.0,8.0,3.0
2016-08-23,0.0,5.0,0.0
2016-08-24,0.0,1.0,0.0
2016-08-29,0.0,4.0,2.0
2016-08-31,0.0,7.0,1.0
2016-09-01,1.0,0.0,0.0
2016-09-02,0.0,0.0,1.0
2016-09-08,1.0,1.0,0.0
2016-09-09,0.0,2.0,0.0
2016-09-12,1.0,6.0,1.0
2016-09-15,0.0,1.0,0.0
2016-09-19,0.0,1.0,0.0
2016-09-22,0.0,2.0,0.0
2016-09-29,0.0,8.0,0.0
2016-09-30,0.0,0.0,1.0
2016-10-05,0.0,0.0,1.0
2016-10-06,0.0,1.0,1.0
2016-10-11,0.0,2.0,0.0
2016-10-17,0.0,2.0,0.0
2016-10-19,1.0,11.0,1.0
2016-10-20,0.0,1.0,2.0
2016-10-24,2.0,3.0,0.0
2016-10-25,0.0,4.0,1.0
2016-10-27,0.0,4.0,1.0
2016-10-28,0.0,1.0,0.0
2016-11-02,1.0,3.0,0.0
2016-11-09,1.0,7.0,1.0
2016-11-14,0.0,4.0,0.0
2016-11-21,3.0,6.0,0.0
2016-11-23,0.0,2.0,1.0
2016-11-25,0.0,1.0,3.0
2016-11-28,0.0,0.0,2.0
2016-11-30,0.0,0.0,4.0
2016-12-01,0.0,0.0,1.0
2016-12-05,1.0,2.0,0.0
2016-12-06,0.0,3.0,0.0
2016-12-08,0.0,2.0,0.0
2016-12-09,0.0,10.0,0.0
2016-12-12,0.0,3.0,0.0
2016-12-13,0.0,1.0,0.0
2016-12-14,0.0,0.0,2.0
2016-12-15,0.0,2.0,0.0
2016-12-19,0.0,2.0,0.0
2016-12-22,0.0,0.0,1.0
2016-12-23,1.0,3.0,0.0
2016-12-28,0.0,2.0,1.0
2016-12-29,0.0,4.0,0.0
2017-01-03,1.0,8.0,3.0
2017-01-09,0.0,0.0,2.0
2017-01-10,0.0,2.0,0.0
2017-01-11,4.0,4.0,0.0
2017-01-12,1.0,0.0,0.0
2017-01-17,0.0,0.0,1.0
2017-01-19,1.0,10.0,1.0
2017-01-20,4.0,3.0,5.0
2017-01-23,1.0,2.0,0.0
2017-01-25,2.0,9.0,1.0
2017-01-31,2.0,7.0,1.0
2017-02-02,2.0,0.0,0.0
2017-02-03,2.0,1.0,0.0
2017-02-13,0.0,2.0,2.0
2017-02-22,0.0,0.0,2.0
2017-02-23,3.0,3.0,0.0
2017-02-27,2.0,1.0,0.0
2017-02-28,0.0,2.0,0.0
2017-03-01,0.0,1.0,0.0
2017-03-06,1.0,2.0,2.0
2017-03-07,0.0,0.0,1.0
2017-03-13,2.0,6.0,1.0
2017-03-24,0.0,3.0,2.0
2017-03-30,0.0,1.0,1.0
2017-03-31,0.0,4.0,1.0
2017-04-03,2.0,7.0,0.0
2017-04-04,0.0,0.0,1.0
2017-04-05,0.0,2.0,1.0
2017-04-06,0.0,1.0,0.0
2017-04-11,0.0,1.0,0.0
2017-04-13,2.0,2.0,1.0
2017-04-14,2.0,7.0,0.0
2017-04-17,0.0,5.0,0.0
2017-04-19,0.0,5.0,5.0
2017-04-25,2.0,9.0,2.0
2017-04-26,1.0,4.0,2.0
2017-05-01,1.0,1.0,2.0
2017-05-03,0.0,0.0,2.0
2017-05-04,1.0,0.0,1.0
2017-05-05,0.0,0.0,3.0
2017-05-10,0.0,4.0,4.0
2017-05-12,1.0,1.0,1.0
2017-05-15,2.0,7.0,4.0
2017-05-16,0.0,12.0,0.0
2017-05-17,1.0,1.0,0.0
2017-05-18,2.0,15.0,12.0
2017-05-22,7.0,18.0,3.0
2017-05-23,0.0,1.0,2.0
2017-05-24,4.0,5.0,4.0
2017-05-25,1.0,14.0,7.0
2017-05-26,0.0,5.0,2.0
2017-05-30,2.0,0.0,2.0
2017-05-31,0.0,1.0,0.0
2017-06-01,5.0,0.0,1.0
2017-06-05,2.0,5.0,1.0
2017-06-06,3.0,1.0,4.0
2017-06-07,4.0,2.0,5.0
2017-06-09,2.0,3.0,2.0
2017-06-12,2.0,11.0,2.0
2017-06-13,0.0,2.0,0.0
2017-06-16,0.0,0.0,2.0
2017-06-19,5.0,19.0,0.0
2017-06-20,3.0,3.0,1.0
2017-06-21,4.0,4.0,3.0
2017-06-26,9.0,6.0,4.0
2017-06-27,1.0,0.0,0.0
2017-06-28,1.0,3.0,1.0
2017-06-29,5.0,9.0,5.0
2017-07-03,10.0,6.0,2.0
2017-07-05,0.0,2.0,2.0
2017-07-06,1.0,1.0,0.0
2017-07-07,0.0,0.0,2.0
2017-07-10,1.0,7.0,0.0
2017-07-11,0.0,5.0,2.0
2017-07-12,1.0,2.0,1.0
2017-07-13,3.0,2.0,0.0
2017-07-14,5.0,2.0,0.0
2017-07-17,1.0,11.0,12.0
2017-07-18,3.0,0.0,1.0
2017-07-20,2.0,0.0,2.0
2017-07-24,3.0,0.0,0.0
2017-07-26,1.0,0.0,0.0
2017-07-27,0.0,2.0,0.0
2017-07-28,0.0,0.0,1.0
2017-07-31,0.0,0.0,1.0
2017-08-01,16.0,7.0,1.0
2017-08-11,1.0,0.0,0.0
2017-10-04,0.0,1.0,0.0
2017-11-06,0.0,1.0,0.0
2017-11-15,0.0,1.0,0.0
2017-12-26,1.0,0.0,0.0
2018-01-02,0.0,1.0,1.0
2018-01-03,0.0,2.0,0.0
2018-01-04,1.0,3.0,0.0
2018-02-01,0.0,1.0,1.0
2018-02-06,2.0,11.0,2.0
2018-02-13,0.0,3.0,0.0
2018-02-14,0.0,1.0,0.0
2018-02-15,0.0,8.0,0.0
2018-02-16,0.0,2.0,1.0
2018-02-23,0.0,8.0,1.0
2018-02-26,0.0,0.0,5.0
2018-03-02,0.0,3.0,2.0
2018-03-12,0.0,0.0,2.0
2018-03-13,0.0,1.0,0.0
2018-03-16,0.0,4.0,0.0
2018-03-19,5.0,4.0,0.0
2018-03-20,0.0,13.0,6.0
2018-03-22,5.0,6.0,0.0
2018-03-26,0.0,8.0,0.0
2018-03-29,3.0,3.0,0.0
2018-04-02,0.0,7.0,8.0
2018-04-03,0.0,2.0,4.0
2018-04-04,0.0,12.0,0.0
2018-04-05,0.0,6.0,1.0
2018-04-06,1.0,2.0,2.0
